Word,Fraction of words eliminated,N
glans,0.951130145909327,192
toper,0.951118390034492,175
waits,0.951088130040105,181
scald,0.951060431120511,204
shred,0.951038853885389,176
mazes,0.951023429705879,191
lease,0.950988012650132,179
faire,0.950977850821519,195
cadre,0.950975041446842,169
fines,0.950962412321489,181
slave,0.950959400265197,202
solid,0.95095517390485,188
supra,0.950954518202244,186
poled,0.950911933298593,170
versa,0.950861640631627,172
tuans,0.950855741311836,183
duals,0.950792698947228,199
easel,0.950782849182751,204
cadet,0.950759569678582,197
pyres,0.950744986779379,180
girts,0.950728648182422,174
drags,0.950700803163023,168
shine,0.950700154761238,177
heist,0.950699904086519,184
spice,0.950673159755196,197
wines,0.950664663989618,170
parks,0.95064326226673,184
riled,0.950601781801517,166
berms,0.950582390977724,177
blare,0.950574236990263,204
blats,0.950574088319442,189
ruins,0.950570765578582,195
spine,0.950562712329985,172
older,0.950546960322166,174
leers,0.950508347233615,209
unate,0.950496019904843,179
straw,0.950487193654569,199
mutes,0.950481975192426,186
merit,0.950454125048768,191
duels,0.950452134996782,170
wards,0.950446276154709,203
overs,0.950410738211403,171
crits,0.950400563480292,182
vapes,0.950364045519519,179
cared,0.950360782877718,185
trims,0.950322199402603,204
relic,0.950318912855379,214
pored,0.950290588269353,192
rinds,0.950289692028722,214
harms,0.950276034468434,184
goads,0.950259443637533,188
horns,0.950253994250123,196
swore,0.950248889550609,175
scope,0.950232458382977,213
worse,0.950214526096573,187
unset,0.950153606691938,204
emits,0.950139374839741,210
saris,0.950117791384402,192
gnats,0.950107420714371,190
ports,0.950105993413521,196
liker,0.950103743746266,182
seals,0.950099296419061,194
caned,0.950042152189868,191
macer,0.950031535661306,187
molts,0.95000720676771,188
wiser,0.949934776759411,204
terse,0.949934694886493,208
sport,0.949906182058344,182
armed,0.949905403058086,185
metro,0.949880185386961,176
screw,0.949871253262366,159
lepta,0.949864476579237,192
taste,0.949839194445761,165
gibes,0.949799356949659,196
alike,0.949778047980237,180
cubes,0.949769589962092,204
meows,0.949753856964645,176
other,0.949726600115748,217
doves,0.949698171119335,194
yours,0.949693694274474,194
drops,0.949690090960316,205
comas,0.949678238500541,168
fails,0.94967712502887,182
opera,0.949668036979137,180
grads,0.949661672258297,178
doter,0.949647538495897,182
crest,0.94963014163429,193
wakes,0.949604041396777,193
grays,0.949595737380325,203
sties,0.94958931983424,196
miler,0.949588238176045,195
cauls,0.949573934837092,175
coves,0.94956801172108,184
menus,0.94956444538428,207
plane,0.949527711391829,174
lefts,0.949523040659672,193
gated,0.949520924057495,199
beaks,0.949498740438539,193
sages,0.94946316822294,185
ikats,0.949436217860012,209
since,0.949422776285725,156
temps,0.949405554590547,180
turns,0.949392225406751,192
bikes,0.949390089188031,191
vails,0.949374504013869,204
melds,0.949364198492556,194
girls,0.949347186482077,194
veils,0.949323062977805,174
soapy,0.94931900437671,183
pants,0.949301885075726,168
bases,0.949232951892694,173
greys,0.94922363615994,169
dupes,0.949203954173894,201
wipes,0.949199922884134,182
scrap,0.949197890926615,186
pends,0.949192287649818,184
kerns,0.94918232116568,183
mends,0.949182069909778,204
great,0.949172708569915,173
axels,0.949162098872426,187
stove,0.949145086133327,184
arums,0.949129562079015,180
moist,0.949122807017544,210
toned,0.949121806641948,191
germs,0.949111802885993,191
sadly,0.949109093734858,190
molas,0.949108963795123,197
welts,0.949103356601023,167
skied,0.949095380452172,190
crabs,0.949081359412647,202
cleat,0.94905867104929,182
suety,0.949048485521546,183
laude,0.949015398884167,218
lance,0.949012348167065,181
prods,0.948983455412366,178
shalt,0.948928518582852,216
perks,0.94892180947418,210
rebus,0.948914277833497,199
muser,0.948870066078548,169
trees,0.948856769333443,190
baits,0.948842278964739,200
ranks,0.948788633976569,193
tarts,0.948788012651118,197
adzes,0.948764942283703,176
relay,0.94876200401995,175
techs,0.948724992636562,184
mikes,0.948711430834996,164
zeros,0.948704126310998,174
amuse,0.948696069976342,171
upset,0.948693400551807,172
flues,0.948675358426531,208
picas,0.948665723715228,175
ukase,0.948654388556041,181
faxes,0.948626293735228,178
splat,0.948605619075841,204
tripe,0.948602909826587,187
clams,0.948594353362463,208
omens,0.948588192152549,180
erase,0.948543678555985,188
prest,0.948527396599309,180
solve,0.94852477728976,210
thens,0.948491173727782,179
taken,0.948411623117199,175
canst,0.948408667807013,177
pacts,0.948404550981414,200
belts,0.94840419714486,162
lathe,0.948392536622084,192
estop,0.948369053030724,188
marge,0.948365158918759,191
